Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D7","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D8","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
"","142-0701-801","SMA End Launch Jack Receptacle, 50 Ohm, 0 to 18 GHz, -65 to 165 degC, 5-Pin SMD, RoHS, Bulk","J1","CMP-2000-05490-1","Up to date","Emerson","142-0701-801","Unknown","","","",""
"","142-0701-801","SMA End Launch Jack Receptacle, 50 Ohm, 0 to 18 GHz, -65 to 165 degC, 5-Pin SMD, RoHS, Bulk","J2","CMP-2000-05490-1","Up to date","Emerson","142-0701-801","Unknown","","","",""
"","RASM722PTR13X","CONN PWR JACK 2.1X5.5MM SOLDER","J3","CMP-47995-000002-1","Up to date","Switchcraft","RASM722PTR13X","Volume Production","Mouser","502-RASM722PTR13X","2.19","21.9"
"","10118193-0001LF","Micro USB B Type Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel","J4","CMP-2000-05119-1","Up to date","Amphenol Communications Solutions","10118193-0001LF","Volume Production","","","",""
"","142-0701-801","SMA End Launch Jack Receptacle, 50 Ohm, 0 to 18 GHz, -65 to 165 degC, 5-Pin SMD, RoHS, Bulk","J5","CMP-2000-05490-1","Up to date","Emerson","142-0701-801","Unknown","","","",""
"","LQW15AN18NJ00D","Wire Wound RF Inductor 18nH ±5% 370mA 0.27O 0402 (1005)","L1","CMP-06042-006916-1","Up to date","Murata","LQW15AN18NJ00D","Volume Production","Mouser","81-LQW15AN18NJ00D","0.086","0.86"
"","LQW15AN2N2C10D","Wire Wound RF Inductor 2.2nH ±0.2nH 1000mA 0.027O 0402 (1005)","L2","CMP-06042-008786-1","Up to date","Murata","LQW15AN2N2C10D","Volume Production","Mouser","81-LQW15AN2N2C10D","0.102","1.02"
"","LQW15AN12NJ00D","Wire Wound RF Inductor 12nH ±5% 500mA 0.14O 0402 (1005)","L3","CMP-06042-005424-1","Up to date","Murata","LQW15AN12NJ00D","Volume Production","Mouser","81-LQW15AN12NJ00D","0.086","0.86"
"","LQW15AN15NJ00D","Wire Wound RF Inductor 15nH ±5% 460mA 0.16O 0402 (1005)","L4","CMP-2000-06595-2","Up to date","Murata","LQW15AN15NJ00D","Volume Production","Mouser","81-LQW15AN15NJ00D","0.086","1.72"
"","LQW15AN33NJ00D","Wire Wound RF Inductor 33nH ±5% 260mA 0.63O 0402 (1005)","L5","CMP-06042-007456-1","Up to date","Murata","LQW15AN33NJ00D","Volume Production","Mouser","81-LQW15AN33NJ00D","0.086","1.72"
"","LQW15AN33NJ00D","Wire Wound RF Inductor 33nH ±5% 260mA 0.63O 0402 (1005)","L6","CMP-06042-007456-1","Up to date","Murata","LQW15AN33NJ00D","Volume Production","Mouser","81-LQW15AN33NJ00D","0.086","1.72"
"","LQG15HS10NJ02D","Multilayer type RF Inductor 10nH ±5% 0.26O 500mA 0402","L7","CMP-06042-014117-1","Up to date","Murata","LQG15HS10NJ02D","Volume Production","Newark","49AC3882","0.035","1.75"
"","LQG15HS6N2S02D","Multilayer type RF Inductor 6.2nH ±0.3nH 0.2O 600mA 0402","L8","CMP-06042-008294-1","Up to date","Murata","LQG15HS6N2S02D","Volume Production","Mouser","81-LQG15HS6N2S02D","0.035","0.35"
"","LQG15HS10NJ02D","Multilayer type RF Inductor 10nH ±5% 0.26O 500mA 0402","L9","CMP-06042-014117-1","Up to date","Murata","LQG15HS10NJ02D","Volume Production","Newark","49AC3882","0.035","1.75"
"","CM322522-100KL","Chip Inductor, 10 uH, +/- 10%, -40 to 125 degC, 1210 (3225 Metric), RoHS, Tape and Reel","L10","","","Murata","BL01RN1A1D2B","Obsolete","","","",""
"","LQG15HS27NJ02D","Multilayer type RF Inductor 27nH ±5% 0.46O 350mA 0402","L11","CMP-2000-06578-2","Up to date","Murata","LQG15HS27NJ02D","Volume Production","Mouser","81-LQG15HS27NJ02D","0.036","0.36"
"","LQW15AN15NJ00D","Wire Wound RF Inductor 15nH ±5% 460mA 0.16O 0402 (1005)","L12","CMP-2000-06595-2","Up to date","Murata","LQW15AN15NJ00D","Volume Production","Mouser","81-LQW15AN15NJ00D","0.086","1.72"
"","LQG15HS10NJ02D","Multilayer type RF Inductor 10nH ±5% 0.26O 500mA 0402","L13","CMP-06042-014117-1","Up to date","Murata","LQG15HS10NJ02D","Volume Production","Newark","49AC3882","0.035","1.75"
"","LQG15HS10NJ02D","Multilayer type RF Inductor 10nH ±5% 0.26O 500mA 0402","L14","CMP-06042-014117-1","Up to date","Murata","LQG15HS10NJ02D","Volume Production","Newark","49AC3882","0.035","1.75"
"","LQG15HS10NJ02D","Multilayer type RF Inductor 10nH ±5% 0.26O 500mA 0402","L15","CMP-06042-014117-1","Up to date","Murata","LQG15HS10NJ02D","Volume Production","Newark","49AC3882","0.035","1.75"
"","61202021621","","P1","CMP-1502-00010-2","Up to date","Wurth Elektronik","61202021621","Unknown","Farnell","1642021","0.77598","7.76"
"","62004421121","","P2","CMP-1502-00974-3","Up to date","Wurth Elektronik","62004421121","Unknown","Mouser","710-62004421121","1.93","19.3"
"","PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","PTH1","","","","","","","","",""
"","PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","PTH2","","","","","","","","",""
"","PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","PTH3","","","","","","","","",""
"","PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","PTH4","","","","","","","","",""
"","NTZD3155CT1G","Small Signal MOSFET, Complementary 20 V, 540 mA / -430 mA, with ESD Protection, 6-Pin SOT-563, Pb-Free, Tape and Reel","Q1","CMP-1058-00825-1","Up to date","onsemi","NTZD3155CT1G","Volume Production","Avnet","10N9592","0.087","0.87"
"","Resistor 10k +/-1% 0402 63 mW","Chip Resistor, 10 KOhm, +/- 1%, 63 mW, -55 to 155 degC, 0402 (1005 Metric)","R2","","","Vishay","CRCW0402-10K0FKED","","","","",""
"","Resistor 10k +/-1% 0402 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R3","","","Panasonic","ERJ-2RKF1002X","Volume Production","","","",""
"","ERJ2GE0R00X","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R4","CMP-2000-07451-1","Up to date","Panasonic","ERJ-2GE0R00X","Volume Production","Newark","63W0591","0.011","0.55"
